iter	Passed	Remaining
0	431	129130
1	848	126408
2	1322	130886
3	1794	132774
4	2475	146030
5	3155	154613
6	3890	162825
7	4574	166982
8	5317	171934
9	6078	176270
10	6742	177145
11	7449	178776
12	8165	180263
13	8848	180771
14	9547	181398
15	10206	181162
16	10890	181299
17	11532	180683
18	12154	179752
19	12783	178971
20	13387	177860
21	13950	176281
22	14622	176104
23	15259	175482
24	15842	174267
25	16491	173794
26	17092	172820
27	17746	172393
28	18524	173104
29	19107	171970
30	19802	171830
31	20411	170942
32	21051	170324
33	21641	169314
34	22306	168892
35	22916	168051
36	23571	167548
37	24191	166793
38	24798	165961
39	25388	165027
40	26142	165146
41	26853	164959
42	27490	164302
43	28068	163306
44	28741	162869
45	29384	162253
46	30063	161833
47	30793	161666
48	31481	161259
49	32062	160313
50	32735	159824
51	33419	159385
52	34016	158530
53	34689	158028
54	35324	157354
55	35854	156225
56	36440	155352
57	37073	154687
58	37727	154106
59	38405	153621
60	39117	153262
61	39801	152785
62	40515	152414
63	41199	151922
64	41871	151380
65	42524	150770
66	43342	150726
67	44051	150291
68	44737	149774
69	45360	149041
70	45971	148273
71	46612	147607
72	47391	147369
73	48098	146894
74	48885	146656
75	49456	145765
76	50231	145474
77	50899	144867
78	51562	144244
79	52187	143516
80	52795	142744
81	53467	142144
82	54203	141713
83	54847	141037
84	55496	140373
85	56217	139890
86	56989	139524
87	57579	138714
88	58328	138284
89	58980	137621
90	59680	137067
91	60377	136505
92	61071	135933
93	61713	135244
94	62413	134682
95	63086	134059
96	63762	133442
97	64443	132833
98	65189	132354
99	65934	131869
100	66622	131266
101	67160	130369
102	67829	129731
103	68461	129024
104	69103	128335
105	69754	127663
106	70358	126908
107	70966	126163
108	71607	125476
109	72356	124978
110	73005	124306
111	73604	123549
112	74436	123182
113	75126	122575
114	75777	121902
115	76491	121330
116	77231	120797
117	77879	120119
118	78468	119350
119	79132	118698
120	79741	117964
121	80383	117280
122	81130	116749
123	81726	115998
124	82408	115372
125	83054	114693
126	83764	114103
127	84406	113421
128	85089	112792
129	85629	111976
130	86311	111348
131	86934	110643
132	87626	110027
133	88359	109460
134	89093	108892
135	89837	108333
136	90553	107738
137	91193	107053
138	91951	106504
139	92597	105826
140	93339	105254
141	94042	104639
142	94707	103979
143	95359	103306
144	96083	102709
145	96762	102064
146	97437	101414
147	98124	100776
148	98853	100180
149	99490	99490
150	100116	98790
151	100754	98102
152	101530	97548
153	102175	96867
154	102862	96226
155	103449	95492
156	104101	94818
157	104673	94074
158	105259	93343
159	105775	92553
160	106419	91877
161	106970	91123
162	107646	90476
163	108227	89749
164	108915	89112
165	109451	88352
166	109986	87594
167	110569	86876
168	111206	86201
169	111740	85448
170	112408	84799
171	113013	84103
172	113602	83396
173	114151	82661
174	114757	81969
175	115365	81280
176	116059	80651
177	116661	79959
178	117233	79247
179	117776	78517
180	118434	77865
181	118948	77120
182	119539	76427
183	120086	75706
184	120670	75011
185	121298	74344
186	121952	73693
187	122525	72993
188	123069	72278
189	123699	71615
190	124343	70960
191	124904	70258
192	125481	69567
193	126062	68879
194	126681	68213
195	127182	67484
196	127699	66766
197	128278	66083
198	128827	65384
199	129368	64684
